Адрес	Широта	Долгота	"Уникальный идентификатор объявления"	"Начало размещения"	"Окончание размещения"	"Способ размещения"	"Услуга продвижения"	"Номер объявления на Авито"	"Контактное лицо"	"Номер телефона"	"Идентификатор адреса"	"Способ связи"	Addresses	"Адреса отгрузки"	Категория	"Описание объявления"	"Названия фото"	"Ссылки на фото"	"Ссылка на видео"	"Настройка цены целевого действия"	"Настройка цены целевого действия: автоматическая"	"Настройка цены целевого действия: ручная"	"Название объявления"	"Интернет звонки"	"Устройства для приёма звонков"	"Способ доставки"	"Вес (Для Доставки)"	"Длина (Для Доставки)"	"Высота (Для Доставки)"	"Ширина (Для Доставки)"	Возвраты	"Субсидирование доставки"	Цена	"URL видеофайла"	"Вид товара"	"Вид объявления"	"Тип товара"	"Вид запчасти"	"Тип детали двигателя"	Состояние	Происхождение	Доступность	Производитель	"Номер детали OEM"	"Производитель оригинала"	"Номер оригинала"	"Авто для которых подходит запчасть"	"Включая НДС"	"Оптовые продажи"	"Тип минимального заказа"	"Количество в минимальном заказе"	Фасовка	"Количество в фасовке"	"В чём измеряются товары"	"Скидка за опт"	"Размер скидки за опт"
"Московская обл., Луховицы"			8140004934					8140004934							"Запчасти и аксессуары"	"Двигатель Great Wall Ноver 4G64S4N
Город: Московская обл., Луховицы
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/luhovitsy/zapchasti_i_aksessuary/dvigatel_great_wall_nover_4g64s4n_8140004934"							"Двигатель Great Wall Ноver 4G64S4N"										89100							new																
"Ростовская обл., Таганрог"			8140003413					8140003413							"Запчасти и аксессуары"	"Двигатель Geely Atlas JLH-3G15TD в наличии
Город: Ростовская обл., Таганрог
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/taganrog/zapchasti_i_aksessuary/dvigatel_geely_atlas_jlh-3g15td_v_nalichii_8140003413"							"Двигатель Geely Atlas JLH-3G15TD в наличии"										136800							new																
"Московская обл., Луховицы"			8140002644					8140002644							"Запчасти и аксессуары"	"Двигатель Vortex Estina SQR477F в наличии
Город: Московская обл., Луховицы
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/luhovitsy/zapchasti_i_aksessuary/dvigatel_vortex_estina_sqr477f_v_nalichii_8140002644"							"Двигатель Vortex Estina SQR477F в наличии"										94500							new																
"Иркутская обл., Иркутск"			8139999230					8139999230							"Запчасти и аксессуары"	"Двигатель Hyundai Elantra G4GC в наличии
Город: Иркутская обл., Иркутск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/irkutsk/zapchasti_i_aksessuary/dvigatel_hyundai_elantra_g4gc_v_nalichii_8139999230"							"Двигатель Hyundai Elantra G4GC в наличии"										115200							new																
"Пензенская обл., Пенза"			8139998927					8139998927							"Запчасти и аксессуары"	"Двигатель Kia ProCeed G4FC в наличии
Город: Пензенская обл., Пенза
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/penza/zapchasti_i_aksessuary/dvigatel_kia_proceed_g4fc_v_nalichii_8139998927"							"Двигатель Kia ProCeed G4FC в наличии"										81000							new																
"Московская обл., Луховицы"			8139998896					8139998896							"Запчасти и аксессуары"	"Двигатель Hyundai ix35 G4KD в наличии
Город: Московская обл., Луховицы
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/luhovitsy/zapchasti_i_aksessuary/dvigatel_hyundai_ix35_g4kd_v_nalichii_8139998896"							"Двигатель Hyundai ix35 G4KD в наличии"										135000							new																
"Московская обл., Луховицы"			8139998889					8139998889							"Запчасти и аксессуары"	"Двигатель Chery Bonus SQR477F в наличии
Город: Московская обл., Луховицы
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/luhovitsy/zapchasti_i_aksessuary/dvigatel_chery_bonus_sqr477f_v_nalichii_8139998889"							"Двигатель Chery Bonus SQR477F в наличии"										94500							new																
"Московская обл., Луховицы"			8139997572					8139997572							"Запчасти и аксессуары"	"Двигатель Hyundai i30 G4GC в наличии
Город: Московская обл., Луховицы
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/luhovitsy/zapchasti_i_aksessuary/dvigatel_hyundai_i30_g4gc_v_nalichii_8139997572"							"Двигатель Hyundai i30 G4GC в наличии"										115200							new																
"Московская обл., Луховицы"			8139997099					8139997099							"Запчасти и аксессуары"	"Двигатель Chery Qqme SQR473F в наличии
Город: Московская обл., Луховицы
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/luhovitsy/zapchasti_i_aksessuary/dvigatel_chery_qqme_sqr473f_v_nalichii_8139997099"							"Двигатель Chery Qqme SQR473F в наличии"										94500							new																
"Ростовская обл., Волгодонск"			8139996743					8139996743							"Запчасти и аксессуары"	"Двигатель Hyundai Coupe G4GC в наличии
Город: Ростовская обл., Волгодонск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgodonsk/zapchasti_i_aksessuary/dvigatel_hyundai_coupe_g4gc_v_nalichii_8139996743"							"Двигатель Hyundai Coupe G4GC в наличии"										115200							new																
"Ростовская обл., Волгодонск"			8139996696					8139996696							"Запчасти и аксессуары"	"Двигатель Chery Tiggo sqre4G16 в наличии
Город: Ростовская обл., Волгодонск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgodonsk/zapchasti_i_aksessuary/dvigatel_chery_tiggo_sqre4g16_v_nalichii_8139996696"							"Двигатель Chery Tiggo sqre4G16 в наличии"										121500							new																
"Пензенская обл., Пенза"			8139996594					8139996594							"Запчасти и аксессуары"	"Двигатель Chery A3 sqre4G16
Город: Пензенская обл., Пенза
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/penza/zapchasti_i_aksessuary/dvigatel_chery_a3_sqre4g16_8139996594"							"Двигатель Chery A3 sqre4G16"										121500							new																
"Ростовская обл., Таганрог"			8139994655					8139994655							"Запчасти и аксессуары"	"Двигатель Hyundai i20 G4FA в наличии
Город: Ростовская обл., Таганрог
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/taganrog/zapchasti_i_aksessuary/dvigatel_hyundai_i20_g4fa_v_nalichii_8139994655"							"Двигатель Hyundai i20 G4FA в наличии"										81000							new																
"Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27"			8139993659					8139993659							"Запчасти и аксессуары"	"Двигатель Geely Emgrand JL4G18 в наличии
Город: Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/surgut/zapchasti_i_aksessuary/dvigatel_geely_emgrand_jl4g18_v_nalichii_8139993659"							"Двигатель Geely Emgrand JL4G18 в наличии"										135000							new																
"Ростовская обл., Шахты"			8139992735					8139992735							"Запчасти и аксессуары"	"Двигатель Hyundai Sonata G4GC
Город: Ростовская обл., Шахты
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/shahty/zapchasti_i_aksessuary/dvigatel_hyundai_sonata_g4gc_8139992735"							"Двигатель Hyundai Sonata G4GC"										115200							new																
"Иркутская обл., Иркутск"			8139992563					8139992563							"Запчасти и аксессуары"	"Двигатель Hyundai Matrix G4ED
Город: Иркутская обл., Иркутск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/irkutsk/zapchasti_i_aksessuary/dvigatel_hyundai_matrix_g4ed_8139992563"							"Двигатель Hyundai Matrix G4ED"										108000							new																
"Ростовская обл., Таганрог"			8139991682					8139991682							"Запчасти и аксессуары"	"Двигатель Kia Sportage G4KE в наличии
Город: Ростовская обл., Таганрог
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/taganrog/zapchasti_i_aksessuary/dvigatel_kia_sportage_g4ke_v_nalichii_8139991682"							"Двигатель Kia Sportage G4KE в наличии"										135000							new																
"Челябинская обл., Магнитогорский г.о., Магнитогорск"			8139991633					8139991633							"Запчасти и аксессуары"	"Двигатель Hyundai Matrix G4ED
Город: Челябинская обл., Магнитогорский г.о., Магнитогорск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/magnitogorsk/zapchasti_i_aksessuary/dvigatel_hyundai_matrix_g4ed_8139991633"							"Двигатель Hyundai Matrix G4ED"										108000							new																
"Ростовская обл., Таганрог"			8139991187					8139991187							"Запчасти и аксессуары"	"Двигатель Great Wall 4G64S4N в наличии
Город: Ростовская обл., Таганрог
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/taganrog/zapchasti_i_aksessuary/dvigatel_great_wall_4g64s4n_v_nalichii_8139991187"							"Двигатель Great Wall 4G64S4N в наличии"										89100							new																
"Ростовская обл., Волгодонск"			8139990660					8139990660							"Запчасти и аксессуары"	"Двигатель Chery Kimo SQR473F в наличии
Город: Ростовская обл., Волгодонск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgodonsk/zapchasti_i_aksessuary/dvigatel_chery_kimo_sqr473f_v_nalichii_8139990660"							"Двигатель Chery Kimo SQR473F в наличии"										94500							new																
"Ростовская обл., Волгодонск"			8139990246					8139990246							"Запчасти и аксессуары"	"Двигатель Chery Very SQR477F в наличии
Город: Ростовская обл., Волгодонск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgodonsk/zapchasti_i_aksessuary/dvigatel_chery_very_sqr477f_v_nalichii_8139990246"							"Двигатель Chery Very SQR477F в наличии"										94500							new																
"Челябинская обл., Магнитогорский г.о., Магнитогорск"			8139988798					8139988798							"Запчасти и аксессуары"	"Двигатель Hyundai ix35 G4KE в наличии
Город: Челябинская обл., Магнитогорский г.о., Магнитогорск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/magnitogorsk/zapchasti_i_aksessuary/dvigatel_hyundai_ix35_g4ke_v_nalichii_8139988798"							"Двигатель Hyundai ix35 G4KE в наличии"										135000							new																
"Ростовская обл., Волгодонск"			8139988377					8139988377							"Запчасти и аксессуары"	"Двигатель Chery Indis SQR473F в наличии
Город: Ростовская обл., Волгодонск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgodonsk/zapchasti_i_aksessuary/dvigatel_chery_indis_sqr473f_v_nalichii_8139988377"							"Двигатель Chery Indis SQR473F в наличии"										94500							new																
"Ростовская обл., Волгодонск"			8139985279					8139985279							"Запчасти и аксессуары"	"Двигатель Chery Tiggo SQR481F
Город: Ростовская обл., Волгодонск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgodonsk/zapchasti_i_aksessuary/dvigatel_chery_tiggo_sqr481f_8139985279"							"Двигатель Chery Tiggo SQR481F"										116100							new																
"Ростовская обл., Волгодонск"			8139985250					8139985250							"Запчасти и аксессуары"	"Двигатель Chery E5 SQR477F в наличии
Город: Ростовская обл., Волгодонск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgodonsk/zapchasti_i_aksessuary/dvigatel_chery_e5_sqr477f_v_nalichii_8139985250"							"Двигатель Chery E5 SQR477F в наличии"										94500							new																
"Ростовская обл., Шахты"			8139982482					8139982482							"Запчасти и аксессуары"	"Двигатель Нyundаi Sоlаris G4FG
Город: Ростовская обл., Шахты
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/shahty/zapchasti_i_aksessuary/dvigatel_nyundai_solaris_g4fg_8139982482"							"Двигатель Нyundаi Sоlаris G4FG"										103500							new																
"Ростовская обл., Таганрог"			8139981796					8139981796							"Запчасти и аксессуары"	"Двигатель Kia Ceed G4FA
Город: Ростовская обл., Таганрог
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/taganrog/zapchasti_i_aksessuary/dvigatel_kia_ceed_g4fa_8139981796"							"Двигатель Kia Ceed G4FA"										81000							new																
"Пензенская обл., Пенза"			8139981353					8139981353							"Запчасти и аксессуары"	"Двигатель Vortex Corda SQR477F в наличии
Город: Пензенская обл., Пенза
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/penza/zapchasti_i_aksessuary/dvigatel_vortex_corda_sqr477f_v_nalichii_8139981353"							"Двигатель Vortex Corda SQR477F в наличии"										94500							new																
"Нижегородская обл., Арзамас"			8139980788					8139980788							"Билеты и путешествия"	"Купон на приобретение двигателя
Город: Нижегородская обл., Арзамас
Категория: Билеты и путешествия
Ссылка: https://www.avito.ru/arzamas/bilety_i_puteshestviya/kupon_na_priobretenie_dvigatelya_8139980788"							"Купон на приобретение двигателя"										100							new																
"Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27"			8139980695					8139980695							"Запчасти и аксессуары"	"Двигатель Geely Okavango JLH-3G15TD в наличии
Город: Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/surgut/zapchasti_i_aksessuary/dvigatel_geely_okavango_jlh-3g15td_v_nalichii_8139980695"							"Двигатель Geely Okavango JLH-3G15TD в наличии"										136800							new																
"Московская обл., Луховицы"			8139980424					8139980424							"Запчасти и аксессуары"	"Двигатель Hyundai Coupe G4GC в наличии
Город: Московская обл., Луховицы
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/luhovitsy/zapchasti_i_aksessuary/dvigatel_hyundai_coupe_g4gc_v_nalichii_8139980424"							"Двигатель Hyundai Coupe G4GC в наличии"										115200							new																
"Московская обл., Луховицы"			8139980085					8139980085							"Запчасти и аксессуары"	"Двигатель Geely Emgrand JL4G18 в наличии
Город: Московская обл., Луховицы
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/luhovitsy/zapchasti_i_aksessuary/dvigatel_geely_emgrand_jl4g18_v_nalichii_8139980085"							"Двигатель Geely Emgrand JL4G18 в наличии"										135000							new																
"Пензенская обл., Пенза"			8139979584					8139979584							"Запчасти и аксессуары"	"Двигатель Kia Sportage G4KE в наличии
Город: Пензенская обл., Пенза
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/penza/zapchasti_i_aksessuary/dvigatel_kia_sportage_g4ke_v_nalichii_8139979584"							"Двигатель Kia Sportage G4KE в наличии"										135000							new																
"Московская обл., Луховицы"			8139978276					8139978276							"Запчасти и аксессуары"	"Двигатель Geely Emgrand JL4G15D в наличии
Город: Московская обл., Луховицы
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/luhovitsy/zapchasti_i_aksessuary/dvigatel_geely_emgrand_jl4g15d_v_nalichii_8139978276"							"Двигатель Geely Emgrand JL4G15D в наличии"										135000							new																
"Ростовская обл., Шахты"			8139977854					8139977854							"Запчасти и аксессуары"	"Двигатель Lifan Solano LFB479Q
Город: Ростовская обл., Шахты
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/shahty/zapchasti_i_aksessuary/dvigatel_lifan_solano_lfb479q_8139977854"							"Двигатель Lifan Solano LFB479Q"										130500							new																
"Московская обл., Луховицы"			8139975251					8139975251							"Запчасти и аксессуары"	"Двигатель Vortex Tingo SQR481FC в наличии
Город: Московская обл., Луховицы
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/luhovitsy/zapchasti_i_aksessuary/dvigatel_vortex_tingo_sqr481fc_v_nalichii_8139975251"							"Двигатель Vortex Tingo SQR481FC в наличии"										116100							new																
"Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27"			8139975148					8139975148							"Запчасти и аксессуары"	"Двигатель Mitsubishi Lancer 4G18 в наличии
Город: Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/surgut/zapchasti_i_aksessuary/dvigatel_mitsubishi_lancer_4g18_v_nalichii_8139975148"							"Двигатель Mitsubishi Lancer 4G18 в наличии"										85500							new																
"Ростовская обл., Волгодонск"			8139974604					8139974604							"Запчасти и аксессуары"	"Двигатель Нyundаi Сrеta G4NA в наличии
Город: Ростовская обл., Волгодонск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgodonsk/zapchasti_i_aksessuary/dvigatel_nyundai_sreta_g4na_v_nalichii_8139974604"							"Двигатель Нyundаi Сrеta G4NA в наличии"										135000							new																
"Иркутская обл., Иркутск"			8139973866					8139973866							"Запчасти и аксессуары"	"Двигатель Kia ProCeed G4GC в наличии
Город: Иркутская обл., Иркутск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/irkutsk/zapchasti_i_aksessuary/dvigatel_kia_proceed_g4gc_v_nalichii_8139973866"							"Двигатель Kia ProCeed G4GC в наличии"										115200							new																
"Челябинская обл., Магнитогорский г.о., Магнитогорск"			8139973316					8139973316							"Запчасти и аксессуары"	"Двигатель Kia Magentis G4KD в наличии
Город: Челябинская обл., Магнитогорский г.о., Магнитогорск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/magnitogorsk/zapchasti_i_aksessuary/dvigatel_kia_magentis_g4kd_v_nalichii_8139973316"							"Двигатель Kia Magentis G4KD в наличии"										135000							new																
"Ростовская обл., Волгодонск"			8139972850					8139972850							"Запчасти и аксессуары"	"Двигатель Нyundаi Sоnаtа G4NA в наличии
Город: Ростовская обл., Волгодонск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgodonsk/zapchasti_i_aksessuary/dvigatel_nyundai_sonata_g4na_v_nalichii_8139972850"							"Двигатель Нyundаi Sоnаtа G4NA в наличии"										135000							new																
"Томская обл., Стрежевой"			8139972651					8139972651							"Запчасти и аксессуары"	"Двигатель Chery Indis SQR473F
Город: Томская обл., Стрежевой
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/strezhevoy/zapchasti_i_aksessuary/dvigatel_chery_indis_sqr473f_8139972651"							"Двигатель Chery Indis SQR473F"										94500							new																
"Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27"			8139972083					8139972083							"Запчасти и аксессуары"	"Двигатель Hyundai Elantra G4FC в наличии
Город: Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/surgut/zapchasti_i_aksessuary/dvigatel_hyundai_elantra_g4fc_v_nalichii_8139972083"							"Двигатель Hyundai Elantra G4FC в наличии"										81000							new																
"Ростовская обл., Таганрог"			8139970531					8139970531							"Запчасти и аксессуары"	"Двигатель Kia Cerato G4ED в наличии
Город: Ростовская обл., Таганрог
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/taganrog/zapchasti_i_aksessuary/dvigatel_kia_cerato_g4ed_v_nalichii_8139970531"							"Двигатель Kia Cerato G4ED в наличии"										108000							new																
"Иркутская обл., Иркутск"			8139970407					8139970407							"Запчасти и аксессуары"	"Двигатель Geely Coolray JLH-3G15TD в наличии
Город: Иркутская обл., Иркутск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/irkutsk/zapchasti_i_aksessuary/dvigatel_geely_coolray_jlh-3g15td_v_nalichii_8139970407"							"Двигатель Geely Coolray JLH-3G15TD в наличии"										136800							new																
"Ростовская обл., Волгодонск"			8139970329					8139970329							"Запчасти и аксессуары"	"Двигатель Geely Okavango JLH-3G15TD в наличии
Город: Ростовская обл., Волгодонск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgodonsk/zapchasti_i_aksessuary/dvigatel_geely_okavango_jlh-3g15td_v_nalichii_8139970329"							"Двигатель Geely Okavango JLH-3G15TD в наличии"										136800							new																
"Ростовская обл., Волгодонск"			8139970172					8139970172							"Запчасти и аксессуары"	"Двигатель Geely MK Cross MR479QA в наличии
Город: Ростовская обл., Волгодонск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgodonsk/zapchasti_i_aksessuary/dvigatel_geely_mk_cross_mr479qa_v_nalichii_8139970172"							"Двигатель Geely MK Cross MR479QA в наличии"										98100							new																
"Томская обл., Стрежевой"			8139969832					8139969832							"Запчасти и аксессуары"	"Двигатель Kia Sportage G4KD в наличии
Город: Томская обл., Стрежевой
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/strezhevoy/zapchasti_i_aksessuary/dvigatel_kia_sportage_g4kd_v_nalichii_8139969832"							"Двигатель Kia Sportage G4KD в наличии"										135000							new																
"Московская обл., Луховицы"			8139969662					8139969662							"Запчасти и аксессуары"	"Двигатель Hyundai Tucson G4GC в наличии
Город: Московская обл., Луховицы
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/luhovitsy/zapchasti_i_aksessuary/dvigatel_hyundai_tucson_g4gc_v_nalichii_8139969662"							"Двигатель Hyundai Tucson G4GC в наличии"										115200							new																
"Ростовская обл., Таганрог"			8139969250					8139969250							"Запчасти и аксессуары"	"Двигатель Chery Tiggo SQR481F в наличии
Город: Ростовская обл., Таганрог
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/taganrog/zapchasti_i_aksessuary/dvigatel_chery_tiggo_sqr481f_v_nalichii_8139969250"							"Двигатель Chery Tiggo SQR481F в наличии"										116100							new																
"Пензенская обл., Пенза"			8139968469					8139968469							"Запчасти и аксессуары"	"Двигатель Kia Optima G4KD в наличии
Город: Пензенская обл., Пенза
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/penza/zapchasti_i_aksessuary/dvigatel_kia_optima_g4kd_v_nalichii_8139968469"							"Двигатель Kia Optima G4KD в наличии"										135000							new																
"Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27"			8139968446					8139968446							"Запчасти и аксессуары"	"Двигатель Hyundai Grandeur G4KE в наличии
Город: Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/surgut/zapchasti_i_aksessuary/dvigatel_hyundai_grandeur_g4ke_v_nalichii_8139968446"							"Двигатель Hyundai Grandeur G4KE в наличии"										135000							new																
"Ростовская обл., Волгодонск"			8139968301					8139968301							"Запчасти и аксессуары"	"Двигатель Нyundаi Sоlаris G4FG
Город: Ростовская обл., Волгодонск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgodonsk/zapchasti_i_aksessuary/dvigatel_nyundai_solaris_g4fg_8139968301"							"Двигатель Нyundаi Sоlаris G4FG"										103500							new																
"Ростовская обл., Таганрог"			8139968118					8139968118							"Запчасти и аксессуары"	"Двигатель Hyundai ix20 G4FC в наличии
Город: Ростовская обл., Таганрог
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/taganrog/zapchasti_i_aksessuary/dvigatel_hyundai_ix20_g4fc_v_nalichii_8139968118"							"Двигатель Hyundai ix20 G4FC в наличии"										81000							new																
"Ростовская обл., Шахты"			8139968079					8139968079							"Запчасти и аксессуары"	"Двигатель Lifan Breez LF479Q3 в наличии
Город: Ростовская обл., Шахты
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/shahty/zapchasti_i_aksessuary/dvigatel_lifan_breez_lf479q3_v_nalichii_8139968079"							"Двигатель Lifan Breez LF479Q3 в наличии"										94990							new																
"Московская обл., Луховицы"			8139965934					8139965934							"Запчасти и аксессуары"	"Двигатель Kia Sportage G4GC в наличии
Город: Московская обл., Луховицы
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/luhovitsy/zapchasti_i_aksessuary/dvigatel_kia_sportage_g4gc_v_nalichii_8139965934"							"Двигатель Kia Sportage G4GC в наличии"										115200							new																
"Ростовская обл., Таганрог"			8139965854					8139965854							"Запчасти и аксессуары"	"Двигатель Geely MK Cross MR479QA в наличии
Город: Ростовская обл., Таганрог
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/taganrog/zapchasti_i_aksessuary/dvigatel_geely_mk_cross_mr479qa_v_nalichii_8139965854"							"Двигатель Geely MK Cross MR479QA в наличии"										98100							new																
"Ростовская обл., Шахты"			8139964433					8139964433							"Запчасти и аксессуары"	"Двигатель кiа Сeratо G4NA
Город: Ростовская обл., Шахты
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/shahty/zapchasti_i_aksessuary/dvigatel_kia_serato_g4na_8139964433"							"Двигатель кiа Сeratо G4NA"										135000							new																
"Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27"			8139964110					8139964110							"Запчасти и аксессуары"	"Двигатель Kia Rio G4FG в наличии
Город: Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/surgut/zapchasti_i_aksessuary/dvigatel_kia_rio_g4fg_v_nalichii_8139964110"							"Двигатель Kia Rio G4FG в наличии"										103500							new																
"Пензенская обл., Пенза"			8139963143					8139963143							"Запчасти и аксессуары"	"Двигатель Chery A3 sqre4G16 в наличии
Город: Пензенская обл., Пенза
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/penza/zapchasti_i_aksessuary/dvigatel_chery_a3_sqre4g16_v_nalichii_8139963143"							"Двигатель Chery A3 sqre4G16 в наличии"										121500							new																
"Московская обл., Луховицы"			8139961554					8139961554							"Запчасти и аксессуары"	"Двигатель Chery Amulet SQR481F в наличии
Город: Московская обл., Луховицы
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/luhovitsy/zapchasti_i_aksessuary/dvigatel_chery_amulet_sqr481f_v_nalichii_8139961554"							"Двигатель Chery Amulet SQR481F в наличии"										116100							new																
"Московская обл., Луховицы"			8139961419					8139961419							"Запчасти и аксессуары"	"Двигатель Hyundai Elantra G4ED в наличии
Город: Московская обл., Луховицы
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/luhovitsy/zapchasti_i_aksessuary/dvigatel_hyundai_elantra_g4ed_v_nalichii_8139961419"							"Двигатель Hyundai Elantra G4ED в наличии"										108000							new																
"Челябинская обл., Магнитогорск, пл. Народных Гуляний"			8139960540					8139960540							"Запчасти и аксессуары"	"Двигатель Mitsubishi Kuda 4G18 в наличии
Город: Челябинская обл., Магнитогорск, пл. Народных Гуляний
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/magnitogorsk/zapchasti_i_aksessuary/dvigatel_mitsubishi_kuda_4g18_v_nalichii_8139960540"							"Двигатель Mitsubishi Kuda 4G18 в наличии"										85500							new																
"Томская обл., Стрежевой"			8139959909					8139959909							"Запчасти и аксессуары"	"Двигатель Hyundai Elantra G4ED в наличии
Город: Томская обл., Стрежевой
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/strezhevoy/zapchasti_i_aksessuary/dvigatel_hyundai_elantra_g4ed_v_nalichii_8139959909"							"Двигатель Hyundai Elantra G4ED в наличии"										108000							new																
"Пензенская обл., Пенза"			8139958618					8139958618							"Запчасти и аксессуары"	"Двигатель Chery Tiggo SQR481F
Город: Пензенская обл., Пенза
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/penza/zapchasti_i_aksessuary/dvigatel_chery_tiggo_sqr481f_8139958618"							"Двигатель Chery Tiggo SQR481F"										116100							new																
"Томская обл., Стрежевой"			8139958594					8139958594							"Запчасти и аксессуары"	"Двигатель Chery Elara SQR477F в наличии
Город: Томская обл., Стрежевой
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/strezhevoy/zapchasti_i_aksessuary/dvigatel_chery_elara_sqr477f_v_nalichii_8139958594"							"Двигатель Chery Elara SQR477F в наличии"										94500							new																
"Иркутская обл., Иркутск"			8139958320					8139958320							"Запчасти и аксессуары"	"Двигатель Hyundai ix20 G4FC в наличии
Город: Иркутская обл., Иркутск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/irkutsk/zapchasti_i_aksessuary/dvigatel_hyundai_ix20_g4fc_v_nalichii_8139958320"							"Двигатель Hyundai ix20 G4FC в наличии"										81000							new																
